date,close,high,low,open,volume,symbol,Ticker
2021-11-15,29.966644287109375,30.584440706850636,29.190156497149673,30.49262045840271,384909000,TOP10,NVDA
2021-11-15,337.7966613769531,343.99334716796875,326.20001220703125,339.2099914550781,104326800,TOP10,TSLA
2021-11-15,206.40524291992188,210.39139268021617,205.9288430075584,207.68858384785847,9596900,TOP10,V
2021-11-16,148.04083251953125,148.52123530858523,146.41336017433824,147.0016078768631,59256200,TOP10,AAPL
2021-11-16,177.03500366210938,178.8249969482422,176.25750732421875,176.9499969482422,44342000,TOP10,AMZN
2021-11-16,283.3599853515625,285.1600036621094,283.1199951171875,284.4700012207031,4204200,TOP10,BRK-B
2021-11-16,146.9944305419922,147.87563551854703,146.43428286166153,147.26629859025232,18904000,TOP10,GOOGL
2021-11-16,149.60226440429688,151.14931856247804,149.3851298789323,151.14026266263448,9706100,TOP10,JPM
2021-11-16,341.0887145996094,344.7585834501092,339.0101218127817,341.95396280238197,18181100,TOP10,META
2021-11-16,328.5179443359375,329.6403914141883,324.64744938867244,324.81192888739275,20886800,TOP10,MSFT
2021-11-16,30.144290924072266,30.330927710065502,29.648257245005713,29.701155625385343,264484000,TOP10,NVDA
2021-11-16,351.57666015625,352.3999938964844,334.05999755859375,334.4366760253906,79627200,TOP10,TSLA
2021-11-16,209.20526123046875,209.66221230167724,205.7830089477337,206.2691258460312,8719600,TOP10,V
2021-11-17,150.4820556640625,151.9624587476381,148.03104826490704,148.04084690898938,88807000,TOP10,AAPL
2021-11-17,177.4499969482422,179.3625030517578,177.2675018310547,178.23599243164062,51206000,TOP10,AMZN
2021-11-17,281.5899963378906,283.1199951171875,280.8999938964844,283.1199951171875,3740800,TOP10,BRK-B
2021-11-17,147.1643829345703,147.67382452160967,146.36220241193504,147.1449984599749,19594000,TOP10,GOOGL
2021-11-17,148.7970733642578,149.7832000977175,147.81998872574474,149.46656111788485,9909600,TOP10,JPM
2021-11-17,338.9106750488281,345.4050447577485,338.2443477087667,342.3617432004944,13602800,TOP10,META
2021-11-17,328.7408142089844,331.71686021606945,327.65509790786484,328.5663304284938,19053400,TOP10,MSFT
2021-11-17,29.204126358032227,30.44970177167363,28.744021941865498,30.358877136697892,428508000,TOP10,NVDA
2021-11-17,363.0033264160156,373.21331787109375,351.8333435058594,354.5033264160156,94336200,TOP10,TSLA
2021-11-17,199.36627197265625,201.55379814684483,193.92177128463135,200.2315595103753,38379600,TOP10,V
2021-11-18,154.7761688232422,155.56049397195753,150.05063560781477,150.69770497748678,137827700,TOP10,AAPL
2021-11-18,184.8029937744141,185.2100067138672,178.0500030517578,178.3175048828125,114070000,TOP10,AMZN
2021-11-18,280.6300048828125,281.75,279.25,281.1000061035156,3338000,TOP10,BRK-B
2021-11-18,148.9452362060547,149.68281712877544,147.00289022799984,147.3577566273577,35608000,TOP10,GOOGL
2021-11-18,147.51242065429688,149.14089536990684,147.06910943026955,148.7247242407457,8122500,TOP10,JPM
2021-11-18,336.8420715332031,340.59149106099784,333.4705531875881,337.8664505228223,17487200,TOP10,META
2021-11-18,330.8250732421875,331.968980623258,326.8020941377926,327.8296493909569,22463500,TOP10,MSFT
2021-11-18,31.613433837890625,32.696324054065144,31.260121801822265,32.30409016598624,781711000,TOP10,NVDA
2021-11-18,365.4599914550781,370.6666564941406,358.3399963378906,368.8500061035156,62696700,TOP10,TSLA
2021-11-18,197.68429565429688,202.09823047435415,195.6814964473282,200.7662749471218,18292200,TOP10,V
2021-11-19,157.40367126464844,157.86446177371923,153.4624478516477,154.56049419168397,117305600,TOP10,AAPL
2021-11-19,183.82850646972656,188.1074981689453,183.78599548339844,185.6345062255859,98734000,TOP10,AMZN
2021-11-19,279.989990234375,280.9700012207031,278.010009765625,280.9599914550781,4529200,TOP10,BRK-B
2021-11-19,148.0386505126953,150.06649723737235,148.011318098392,149.081392735842,33682000,TOP10,GOOGL
2021-11-19,145.58535766601562,146.6619605309602,144.25543810399287,145.92915052836085,12193600,TOP10,JPM
2021-11-19,343.41595458984375,350.17887049456425,338.04542425593485,340.33289315722004,26488500,TOP10,META
2021-11-19,332.6087341308594,334.53784815102716,331.72661169602117,332.1531473880695,21963400,TOP10,MSFT
2021-11-19,32.920902252197266,33.02370273627252,31.843001046715717,32.180343570742444,533867000,TOP10,NVDA
2021-11-19,379.0199890136719,379.5733337402344,364.23333740234375,366.2900085449219,64926900,TOP10,TSLA
2021-11-19,195.28286743164065,197.8495638832076,194.30091670583263,196.43009611119197,18032600,TOP10,V
2021-11-22,157.86448669433594,162.4527653050192,157.84487444666516,158.51154126985364,117467900,TOP10,AAPL
2021-11-22,178.6284942626953,185.67300415039065,178.375,183.81900024414065,96844000,TOP10,AMZN
2021-11-22,284.9700012207031,286.44000244140625,280.010009765625,280.7300109863281,5036000,TOP10,BRK-B
2021-11-22,145.42982482910156,148.9362920520798,145.27625061082537,148.4422608556873,30594000,TOP10,GOOGL
2021-11-22,148.68849182128906,150.16315376153713,147.45809065232385,148.516595408719,14549900,TOP10,JPM
2021-11-22,339.1494445800781,351.89947504543,338.6521726014445,347.145556143735,27116800,TOP10,META
2021-11-22,329.4290771484375,338.9679380324036,329.1576480718076,334.07248166492263,31031100,TOP10,MSFT
2021-11-22,31.89388656616211,34.57965605993872,31.837995656909463,33.45185137250363,754335000,TOP10,NVDA
